model,latency
mistral-medium-2312,3.3167870515212137
Qwen1.5-1.8B-Chat,0.5502705450000004
CodeLlama-34b-Instruct-hf,3.851887315425931
Llama-3-70b-Instruct,1.2500218078139844
gemma-1.1-7b-it,0.1782953878345513
openchat-3.5-1210,0.28049827691029705
codegemma-7b-it,0.30489740508652785
Llama-3-8b-Instruct,1.0531297961586106
sheep-duck-llama-2-70b-v1.1,5.524607914346896
gpt-4-0613,0.6484411465828742
openchat_3.5,0.31728768684620623
Yi-34B-Chat,1.2871676207135385
openchat-3.5-0106,0.2920951450556654
Mixtral-8x7B-Instruct-v0.1,0.9392967660636317
Qwen1.5-14B-Chat,0.37289333481152975
mistral-large-2402,0.3967416598893948
gemma-7b-it,0.6112263564356414
gpt-4-0125-preview,1.0418927523113601
gpt-4-1106-preview,0.7767265743542753
claude-2.1,1.6836316221022491
gemma-1.1-2b-it,0.11925699461279458
claude-3-opus-20240229,2.955845827917778
command-r,0.18832414914586068
sheep-duck-llama-2-13b,2.9462099794520453
SUS-Chat-34B,2.27951476106911
claude-3-haiku-20240307,0.869549739619107
Mixtral-8x22B-Instruct-v0.1,1.0759354563573875
vicuna-13b-v1.5,1.4753938719676492
Qwen1.5-32B-Chat,0.5092292557397938
Qwen1.5-0.5B-Chat,0.173469139375476
llama-2-70b-chat-hf,4.724659620079609
WizardLM-70b-v1.0,3.9249772038834863
tulu-2-dpo-70b,7.848597339328551
Mistral-7B-Instruct-v0.1,0.2828647550771723
gpt-3.5,0.6829601016193744
Qwen1.5-7B-Chat,0.38989076908838965
claude-3-sonnet-20240229,1.419486012822594
vicuna-33b-v1.3,0.8235025152162343
WizardLM-13b-v1.2,3.565436762576296
command-r-plus,0.3104016019283745
